Element&Ag&&&
Citation&Chem. Phys. 311, 227 (2005); doi: 10.1016/j.chemphys.2004.10.005&&&
NcoreElectrons&28&&&
l&j&C&Alpha&n
s&1/2&255.054771&12.567714&2
s&1/2&36.983393&6.997662&2
p&1/2&182.147116&11.316496&2
p&1/2&30.515599&7.111400&2
p&3/2&182.165833&10.958063&2
p&3/2&30.729847&6.773319&2
d&3/2&73.762344&8.928437&2
d&3/2&13.420833&5.543212&2
d&5/2&73.364560&11.102567&2
d&5/2&12.347291&3.928835&2
f&5/2&-29.454607&11.012913&2
f&7/2&-29.337572&11.019898&2
