Element&Hg&&&
Citation&Chem. Phys. 311, 227 (2005); doi: 10.1016/j.chemphys.2004.10.005&&&
NcoreElectrons&60&&&
l&j&C&Alpha&n
s&1/2&275.774797&12.413071&2
s&1/2&49.267898&6.897913&2
p&1/2&241.520951&11.310320&2
p&1/2&27.250248&5.939804&2
p&3/2&241.552236&10.210773&2
p&3/2&27.551660&5.019755&2
d&3/2&127.843139&8.407895&2
d&3/2&16.404553&4.012612&2
d&5/2&127.845765&8.214086&2
d&5/2&16.363450&3.795398&2
f&5/2&22.001002&3.273106&2
f&7/2&21.865998&3.208321&2
g&7/2&-14.261431&4.485296&2
g&9/2&-14.579754&4.513200&2
