Element&Ba&&&
Citation&J. Chem. Phys. 124, 034107 (2006); doi: 10.1063/1.2148945&&&
NcoreElectrons&46&&&
l&j&C&Alpha&n
s&1/2&84.7854575830&4.177931587&2
s&1/2&17.3727090410&2.522632800&2
p&1/2&157.5366772290&6.294119351&2
p&3/2&157.5340029705&6.476457746&2
p&1/2&26.1210448110&2.284326647&2
p&3/2&25.7481882480&2.091555201&2
d&3/2&13.3663391975&1.925291745&2
d&5/2&13.3762012367&1.878534118&2
d&3/2&3.3657377025&0.907088727&2
d&5/2&3.4395174217&0.910060953&2
f&5/2&-46.6741881013&6.256321669&2
f&7/2&-45.7068758090&6.134135837&2
f&5/2&-5.4704019743&1.641382784&2
f&7/2&-5.2165180900&1.599343316&2
g&7/2&-7.4623562078&2.142381001&2
g&9/2&-7.6961646324&2.159981109&2
