Element&Zn&&&
Citation&Chem. Phys. 311, 227 (2005); doi: 10.1016/j.chemphys.2004.10.005&&&
NcoreElectrons&10&&&
l&j&C&Alpha&n
s&1/2&399.986399&34.174001&2
s&1/2&85.48975&14.456371&2
p&1/2&277.14323&39.888683&2
p&1/2&69.007622&15.290546&2
p&3/2&277.156764&39.655017&2
p&3/2&69.08614&14.903524&2
d&3/2&-34.226834&43.708296&2
d&3/2&-3.290384&15.150718&2
d&5/2&-34.239967&43.698536&2
d&5/2&-3.064524&15.282441&2
f&5/2&-0.864174&8.160014&2
f&7/2&-1.860151&12.228422&2
