Element&Ca&&&
Citation&J. Chem. Phys. 124, 034107 (2006); doi: 10.1063/1.2148945&&&
NcoreElectrons&10&&&
l&j&C&Alpha&n
s&1/2&138.8327287450&10.556058402&2
s&1/2&16.7548245990&5.293154907&2
p&1/2&82.9848228300&12.714571445&2
p&3/2&82.9467938640&12.878516057&2
p&1/2&12.6329229210&4.147923622&2
p&3/2&11.4412238790&3.841287457&2
d&3/2&-1.2858117900&4.703264136&2
d&5/2&-1.2753079983&4.707975898&2
d&3/2&-16.2265539600&13.696151450&2
d&5/2&-16.2259259300&13.698165108&2
f&5/2&-32.6670125530&14.820019137&2
f&7/2&-107.8281160793&22.000803239&2
