Element&Sr&&&
Citation&J. Chem. Phys. 124, 034107 (2006); doi: 10.1063/1.2148945&&&
NcoreElectrons&28&&&
l&j&C&Alpha&n
s&1/2&135.2710429090&6.93346099&2
s&1/2&17.9440714020&4.114003832&2
p&1/2&88.3142440350&7.216816623&2
p&3/2&88.3210122945&7.173696172&2
p&1/2&14.8088480760&3.022798817&2
p&3/2&14.5850281065&2.86569903&2
d&3/2&29.7680979675&6.3215146&2
d&5/2&29.7659190667&6.391499495&2
d&3/2&5.4979505650&1.769726597&2
d&5/2&4.8226181100&1.636771665&2
f&5/2&-12.8551109260&4.244198396&2
f&7/2&-12.7831229628&4.229164471&2
