Element&Cd&&&
Citation&Chem. Phys. 311, 227 (2005); doi: 10.1016/j.chemphys.2004.10.005&&&
NcoreElectrons&28&&&
l&j&C&Alpha&n
s&1/2&270.039448&13.355176&2
s&1/2&38.877766&7.308378&2
p&1/2&193.822409&12.659728&2
p&1/2&31.867674&6.786176&2
p&3/2&193.829167&12.289639&2
p&3/2&31.897569&6.400743&2
d&3/2&79.159913&11.161722&2
d&3/2&12.965500&4.537733&2
d&5/2&79.148693&11.219615&2
d&5/2&12.610105&4.335727&2
f&5/2&-29.476499&11.478986&2
f&7/2&-29.330299&11.487027&2
