Element&Cu&&&
Citation&Chem. Phys. 311, 227 (2005); doi: 10.1016/j.chemphys.2004.10.005&&&
NcoreElectrons&10&&&
l&j&C&Alpha&n
s&1/2&355.750512&30.110543&2
s&1/2&70.930906&13.076310&2
p&1/2&233.909794&32.692614&2
p&1/2&54.063397&13.751067&2
p&3/2&233.891173&32.770339&2
p&3/2&54.141558&13.322166&2
d&3/2&-30.858525&38.996511&2
d&3/2&-2.461762&12.287511&2
d&5/2&-30.455603&39.539788&2
d&5/2&-2.197912&11.459300&2
f&5/2&-0.530283&6.190102&2
f&7/2&-0.820353&8.118780&2
